# histogram ptsum_away, pT < 18: MinBias, pT > 18: Jet20
0	1	0.17	0.01
1	2	0.59	0.02
2	3	1.2	0.05
3	4	1.73	0.07
4	5	2.19	0.11
5	6	2.56	0.14
6	7	2.89	0.17
7	8	3.21	0.15
8	9	3.52	0.27
9	10	3.71	0.48
10	11	3.89	0.36
11	12	4.29	0.44
12	13	5	0.72
13	14	5.08	0.52
14	15	6.15	0.56
15	16	5.13	0.68
16	17	4.72	1.69
17	18	5.72	2.00
18	19	7.31	0.21
19	20	7.62	0.19
20	21	8.05	0.48
21	22	8.39	0.41
22	23	8.51	0.22
23	24	8.72	0.32
24	25	9.13	0.37
25	26	9.39	0.33
26	27	9.8	0.7
27	28	9.86	0.29
28	29	10.7	0.75
29	30	10.81	0.47
30	31	11.26	0.34
31	32	10.56	0.97
32	33	12.28	0.45
33	34	13.12	0.77
34	35	13.23	0.64
35	36	12.51	1.42
36	37	13.23	1.3
37	38	14.36	0.66
38	39	12.02	0.85
39	40	14.51	0.71
40	41	14.75	1.17
41	42	17.31	1
42	43	15.09	2.24
43	44	15.67	1.21
44	45	14.71	1.45
45	46	16.07	1.51
46	47	17.06	2.46
47	48	18.14	1.76
48	49	18.18	2.23
49	50	21.88	2.62
