# histogram ptsum_transv. pT < 20: MinBias. pT > 20: Jet20
0	1	0.16	0.01
1	2	0.55	0.02
2	3	1.07	0.05
3	4	1.47	0.07
4	5	1.78	0.08
5	6	2.01	0.13
6	7	2.22	0.14
7	8	2.21	0.17
8	9	2.26	0.21
9	10	2.35	0.23
10	11	2.45	0.22
11	12	2.71	0.23
12	13	2.63	0.44
13	14	2.48	0.28
14	15	2.62	0.48
15	16	2.22	0.4
16	17	1.58	0.39
17	18	3.12	1.85
18	19	2.341	0.817
19	20	1.879	0.433
20	21	2.78	0.85
21	22	2.68	0.78
22	23	2.8	0.68
23	24	2.73	0.66
24	25	2.75	0.56
25	26	2.71	0.47
26	27	2.58	0.38
27	28	2.8	0.34
28	29	2.93	0.22
29	30	2.98	0.21
30	31	2.93	0.15
31	32	2.82	0.42
32	33	2.6	0.15
33	34	2.67	0.33
34	35	2.87	0.52
35	36	2.91	0.23
36	37	3.2	0.23
37	38	2.87	0.56
38	39	2.61	0.25
39	40	2.92	0.26
40	41	2.91	0.29
41	42	3.15	0.58
42	43	4.17	0.86
43	44	3.09	0.99
44	45	2.68	0.44
45	46	3	0.77
46	47	2.85	0.72
47	48	3.15	0.86
48	49	3.84	1.04
49	50	4.46	1.38
