#  ABREU 96   ZP C73,11
#  Narrow Hemisphere Broadening, BMIN
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = BMIN
#  y = (1/N)*D(N)/DBMIN
#  x1  TO x2     y     +- dy    +- dsys
0.000  0.010   0.645   0.010   0.096
0.010  0.020  11.169   0.045   1.006
0.020  0.030  28.908   0.082   1.823
0.030  0.040  25.972   0.083   1.478
0.040  0.050  14.119   0.061   0.860
0.050  0.060   7.500   0.044   0.494
0.060  0.080   3.405   0.021   0.233
0.080  0.100   1.320   0.013   0.089
0.100  0.120   0.5448  0.0082  0.0328
0.120  0.150   0.1916  0.0040  0.0104
0.150  0.180   0.0366  0.0017  0.0034
