#  ABREU 96   ZP C73,11
#  Difference in Hemisphere Masses
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = M(C=DIFF)**2/EVIS**2
#  y = (1/N)*D(N)/D(M**2/EVIS**2)
#  x1  TO x2     y     +- dy    +- dsys
0.000  0.010  35.393   0.092   0.354
0.010  0.020  20.745   0.071   0.207
0.020  0.030  11.426   0.052   0.114
0.030  0.040   7.170   0.041   0.072
0.040  0.060   4.344   0.023   0.043
0.060  0.080   2.605   0.017   0.026
0.080  0.120   1.4238  0.0092  0.0142
0.120  0.160   0.7061  0.0064  0.0071
0.160  0.200   0.3831  0.0046  0.0044
0.200  0.250   0.1836  0.0028  0.0032
0.250  0.300   0.0579  0.0015  0.0018
0.300  0.350   0.0075  0.0006  0.0006
0.350  0.400   0.0003  0.0002  0.0001
