#<html><head><title>HEPDATA Reaction Database</title></head>
#<body bgcolor="#ffffff">
#<xmp>
# PFEIFENSCNEIDER 99   EPJ C17,19
# Differential distributions in Ynm (the minimum YCUT for the separation inton an
# d m(=n+1) jets)
# RE(Q=HAD)   E+ E- --&gt; HADRONS
# RE(Q=2JET)   E+ E- --&gt; 2JET X
# RE(Q=3JET)   E+ E- --&gt; 3JET X
# RE(Q=4JET)   E+ E- --&gt; 4JET X
# RE(Q=5JET)   E+ E- --&gt; 5JET X
# RE(Q=.GE.6JET)   E+ E- --&gt; .GE.6JET X
# SQRT(S) IN GEV   91
# x = Ynm
# y = D(SIG)/DY45
# x1     TO x2        y         dy   +- dsys
1.00E-05  1.33E-05    17.50   8.19   10.58
1.33E-05  1.78E-05    18.42   5.57   10.58
1.78E-05  2.37E-05    19.98   3.46    7.51
2.37E-05  3.16E-05    28.13   3.06    8.89
3.16E-05  4.22E-05    56.68   3.75   10.54
4.22E-05  5.62E-05   113.1    4.6     19.5
5.62E-05  7.50E-05   233.0    6.1     48.8
7.50E-05  1.00E-04   446.7    7.7     90.5
1.00E-04  1.33E-04   711.5    8.6    138.9
1.33E-04  1.78E-04  1018.6    9.1    169.5
1.78E-04  2.37E-04  1197.7    8.4    156.2
2.37E-04  3.16E-04  1236.0    7.2    106.5
3.16E-04  4.22E-04  1108.2    5.7     52.8
4.22E-04  5.62E-04   907.8    4.3     28.5
5.62E-04  7.50E-04   658.8    3.1     25.0
7.50E-04  1.00E-03   439.2    2.1     23.3
1.00E-03  1.33E-03   269.8    1.4     20.0
1.33E-03  1.78E-03   150.1    0.9     15.7
1.78E-03  2.37E-03    76.52   0.55   10.60
2.37E-03  3.16E-03    36.67   0.33    6.24
3.16E-03  4.22E-03    16.23   0.19    3.15
4.22E-03  5.62E-03     7.154  0.112  1.43
5.62E-03  7.50E-03     3.150  0.067  0.63
7.50E-03  1.00E-02     1.267  0.037  0.28
1.00E-02  1.33E-02     0.537  0.023  0.11
1.33E-02  1.78E-02     0.179  0.011  0.04
1.78E-02  2.37E-02     0.064  0.006  0.01
2.37E-02  3.16E-02     0.014  0.003  0.00
3.16E-02  4.22E-02     0.003  0.001  0.00
