#  ABREU 96   ZP C73,11
#  Aplanarity distribution
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = APLANARITY
#  y = (1/N)*D(N)/DAPLANARITY
#  x1  TO x2     y      +- dy     +- dsys
0.000  0.005  75.10     0.19     0.75
0.005  0.010  55.31     0.17     0.55
0.010  0.015  26.03     0.11     0.28
0.015  0.020  13.927    0.079    0.176
0.020  0.030   6.768    0.038    0.098
0.030  0.040   3.014    0.025    0.056
0.040  0.060   1.281    0.012    0.035
0.060  0.080   0.5181   0.0075   0.0188
0.080  0.100   0.2619   0.0054   0.0118
0.100  0.120   0.1461   0.0041   0.0079
0.120  0.140   0.0758   0.0029   0.0043
0.140  0.160   0.0467   0.0023   0.0027
0.160  0.200   0.0234   0.0011   0.0014
0.200  0.250   0.00884  0.00061  0.00052
0.250  0.300   0.00310  0.00040  0.00018
