#<html><head><title>HEPDATA Reaction Database</title></head>
#<body bgcolor="#ffffff">
#<xmp>
# PFEIFENSCNEIDER 99   EPJ C17,19
# Differential distributions in Ynm (the minimum YCUT for the separation inton an
# d m(=n+1) jets)
# RE(Q=HAD)   E+ E- --&gt; HADRONS
# RE(Q=2JET)   E+ E- --&gt; 2JET X
# RE(Q=3JET)   E+ E- --&gt; 3JET X
# RE(Q=4JET)   E+ E- --&gt; 4JET X
# RE(Q=5JET)   E+ E- --&gt; 5JET X
# RE(Q=.GE.6JET)   E+ E- --&gt; .GE.6JET X
# SQRT(S) IN GEV   91
# x = Ynm
# y = D(SIG)/DY34
# x1     TO x2        y        dy   +- dsys  
2.37E-05  3.16E-05    5.910  1.837  3.084
3.16E-05  4.22E-05    7.934  1.577  2.557
4.22E-05  5.62E-05   14.89   1.77    4.84
5.62E-05  7.50E-05   34.42   2.40    8.66
7.50E-05  1.00E-04   64.74   2.79   20.29
1.00E-04  1.33E-04  138.3    3.8    38.3
1.33E-04  1.78E-04  242.9    4.4    50.2
1.78E-04  2.37E-04  369.6    4.7    60.3
2.37E-04  3.16E-04  492.9    4.7    66.6
3.16E-04  4.22E-04  571.7    4.3    59.8
4.22E-04  5.62E-04  580.0    3.7    45.1
5.62E-04  7.50E-04  535.1    3.0    30.5
7.50E-04  1.00E-03  448.7    2.3    18.1
1.00E-03  1.33E-03  333.2    1.7    11.6
1.33E-03  1.78E-03  234.0    1.2    10.0
1.78E-03  2.37E-03  149.3    0.8     9.0
2.37E-03  3.16E-03   88.43   0.52   7.43
3.16E-03  4.22E-03   50.04   0.34   5.09
4.22E-03  5.62E-03   28.38   0.22   2.94
5.62E-03  7.50E-03   15.95   0.15   1.75
7.50E-03  1.00E-02    9.092  0.096  1.052
1.00E-02  1.33E-02    5.181  0.064  0.580
1.33E-02  1.78E-02    2.848  0.042  0.313
1.78E-02  2.37E-02    1.479  0.026  0.166
2.37E-02  3.16E-02    0.727  0.016  0.098
3.16E-02  4.22E-02    0.338  0.010  0.053
4.22E-02  5.62E-02    0.134  0.005  0.026
5.62E-02  7.50E-02    0.045  0.003  0.014
7.50E-02  1.00E-01    0.011  0.001  0.007

